"","parameters","ICC","p"
"1","v_congruent",0.18844713017012,0.0101220672370567
"2","v_incongruent",0.116780813303732,0.0762501435738878
"3","a_congruent",0.0843894596348328,0.150983706720992
"4","a_incongruent",0.0532106524004927,0.257781913903027
"5","t_congruent",0.0565715831352133,0.244681564814738
"6","t_incongruent",0.109448546902986,0.0900639095067895
"7","z",0.246890235967622,0.00109845804888893
"8","flanker_score_rdoc",0.0534989959373063,0.256644042196629
"9","accuracy_incongruent",0.0681047827447436,0.202553467728436
"10","rt_interference",0.249766671490731,0.000970591539622294
